Reviews,sentiment
متي دوامهم الرسمي توني رايح لهم مغلق المفروض توضحون اذا انتو مسكرين او فاتحين لا تمشورون خلق الله علي الفاضي خساره بانزين علي الفاضي,negative
افضل شبكه ولاكن نحتاج الي تغطيه اكثر في بعض الاماكن,positive
موظف محترم وعلي خلق وتمه معاملتي شكرا,positive
لاباس به ولكن موظف واحد لايكفي هناك بطء فيه انجاز المعاملات,positive
لايفوتكم اقوي نت جربته الي الان بالسعوديه,positive
مثلها مثل كل شركه اتصالات بواقين ومزعجيييببببن برسالءلهم التافهه,negative
لديهم احيانا عروض لكن التغطيه ماعجبتيني حولت منهم,neutral
خدمه راءعه ل العمييل,positive
اوصي بها وبشده افضل من الاتصالات الحراميه,negative
جيد تعاملهم ممتاز,positive
لاسف زين مكتب الاحساء مول مغلق من البلديه من فتره,negative
لسوء الحظ هذه الشركه بدات تفقد مصداقياتها,negative
كل الالوان يعني زين شكرا زين المزيد,positive
مازلت لاانصح بها لان التغطيه ضعيفه,negative
لايوجد احد بالقسم من بعد صلاه العشاء,neutral
شركه اتصالات زين بشكل عام ممتاز يقدم عروض كل فتره انا اشتركت بعرض شباب كان سعره قبل العرض وانا اشترك عرض ممتاز بصراحه ورحت مكتب خدمه العملاء فرع القطيف المزيد,positive
خدمه سيءه جدااااا عشره ايام عندي عطل بالنت وكلمت عملت طلب ولا احد كلم عشان التصليح من اسوا التعامل والاداره,negative
بعض الموظفين يكلموك من خشمهم ولا يفهموا في شغلهم لان كل الاسءله الي سالته مالقيت جوابه عندهم ومايعطوا تفاصيل كفايه كنت ابغا اسدد مديونيه يسالني كم ولما قلت له حق ويش قال فاتوره هههه وبعدها اتصلوا يقولوا ماسددت هل كيف وش هالشغل التلفيق,negative
شركه زين للاتصالات ممتازه جدا جدا جدا ولا انصح في فرع القطيف معاملتهم جدا سيءه عندكم فرع الخبر وفرع الظهران تعاملهم جدا جدا ممتازه وعندهم في التطبيق زين موبايل عروضات ممتازه علي الاجهزه الالكترونيات المزيد,neutral
غوغل يسالني مارايك ب زين بصراحه شركه زين لها مني كل الشكر والاحترام بدون اي مجامله والفضل كله يعود علي الموظفين لحسن تعاملهم مع العملاء اما بين قوصين لما اروحلهم احس رايح الشرطه صدق,positive
لا يتوفر مودم انترنت ولا علم بموعد التوفر,neutral
نصبوا عليي بمودم ريال وكان الاتفاق فاتوره شهري ريال فجتني اول فاتوره ورفضت ادفع ولما زرت محل زين ابغي الغيه قال ماتنلغي عندنا وبعد فتره من عدم الاستخدام جتني فاتوره الفين وخمسميه واشوي وانصدمت وراجعتهم قالوا اجباري تدفع ولما المزيد,negative
طلبت تبديل الباقه قال الموظف عن طريق مركز الاتصال طلبت تفعيل خدمه التجوال قال كلم مركز الاتصال قلت طيب وقف رقم مءقت قال كلم الاتصال موظفين اثنين فقط و لا يوجد عملاء والموظف ماله مزاج يعمل,neutral
فرع مكتب لشركه زين للاتصالات شركه الاتصالات المتنقله السعوديه ربما الفرع الوحيد في محافظه القطيف يعمل من الصباح حتي قبيل منتصف الليل يدار بكوادر وطنيه علي استعداد لتلبيه احتياجك والابتسامه علي وجوههم ربما الفرع بحاجه الي توفير مواقف اضافيه وبالخصوص في الفتره المساءيه,neutral
شركه زين السعوديه للاتصالات من اروع شركات الاتصالات سواء علي مستوي الخدمات ام علي مستوي العروض التي لديهم المزيد,positive
اسوا شركه اتصالات كلها دعايات كاذبه من قبل اشتريت مودم لا يعمل في مدينتي وجاء عمال لتركيب الفايبر ولم يخبروني ان العقد لسنه ولم يخبروني بكيفيه الدخول للحساب في موقعهم لا يظهر اي علاقه لرقمي معهم وعندما اردت الغاءه لم اتمكن لاربعه اشهر من المزيد,negative
هذا الفرع داءما اتوجه له في حل اي مشكله تتعلق بخدمات الاتصال والانترنت لانه وبكل بساطه يحوي طاقم من الموظفين المحترمين الذين يقدمون لك الخدمه بكل تواضع وابتسامه حتي وان طال الوقت معه,positive
المكان جيد تعامل الموظفين كويس ولكن اغلب الاوقات لا يوجد مواقف للسيارات لا يوجد بهذا الفرع اجهزه فقط نوع او نوعيين منها,neutral
فرع القطيف اسوء فرع ممكن تتعامل معاه روح اي فرع اخر احسن لك ولو بعيد موظفين فرع القطيف يحسسك انك شحات وهوه بيتصدق عليك وكانه من كبار موظفين زين التنفيذيين وهوه بياع لا طلع ولا نزل,negative
بشكل عام خدمه ممتاز وتعامل لاءق وجميل من العاملين مكان انيق مده الانتظار في المرات الي زرتهم مقبوله جدا وخدمات ممتازه,positive
خدمات متكامله وسريعه موظفون مقتدرون بخدمه العملاء بشكل جيد وافاده بجميع الباقات المتاحه,neutral
لا يعطونك جوال في حال عندك مشكله في سما وهذي تعتبر مشكله كشركه انت لك علاقه بسداد فواتيري لديك مثال الاتصالات من الافضل لا يهم لديك مشكله او لا مادام ملتزم بالسداد لا مشكله لديهم,neutral
عدم المام الموظفين عن الخدمات فرع يقول لك يمين وفرع يقول لك يسار وعند الاتصال بالمركز يعطيك اتجاه الرجوع الي الخلف حتي في الفرع الواحد كل موظف له فكره وفي النهايه انت المتضرر من هذه الخدمات,neutral
مكتب اتصالات اشتراكات شراءح اتصال وبيانات خدماته سريعه وهذا المكان فرع من شبكه فروع في المملكه تحتاج الي بطاقه تعريفيه سواء الهويه الوطنيه للسعودين واقامه او جواز ساري المفعول للمقيمين,neutral
بصراحه الله يوفقه الموظف خدمني بشكل سلس ومريح وحل كل اموري الله يجزاه خير,positive
للاسف دفعت مبلغ ريال ونص كان مجمد عندي مما اثر علي تقيمي الاءتماني في سما والله اعلم من وين جا ده البلغ وصار لي شهر اراكض وراهم عشان يشيلوني من سما ولاكن لاحياه لمن تنادي,negative
الموظفين في قمت الاخلق بارك الله فيهم علي حسن الخلق وي التعامل,positive
سيءه فرع القطيف,negative
شريه عرض شبكه مفتوحه مع راوتر جيت باشغل الشبكه تفاجات مافي تغطيه في منطقتي مع انه في الخريطه محطوط في تغطيه المزيد,neutral
خدمه سيءه في الفرع وتاخير وعدم احترام الارقام الموظفه تمشي الارقام و العميل لسي ماوصل للخدمه,negative
ماعندهم حل لاي مشكله,negative
تعامل راقي من موظف الاستقبال في فرع القطيف,positive
المكان مرتب وتقريبا غير مزدحم,positive
خدمه ممتازه بس لو سمحتو ممكن يكون في سرعه في العمل تكفون,neutral
رغم صغر المحل ورغم وجود موظف واحد فقط وقت حضوري له ولكن كانت المعامله جدا راءعه وراقيه من الموظف المتواجد,positive
جيد لا باس به صغير المكان ولكن يمشي عمل,positive
الخدمه هناك طيبه ولديهم عروض,positive
ما يستاهل ولا نجمه ولا انصح بالتعامل مع شركه زين من الاساس,negative
خدمه متدنيه انتظرت دقيقه موظفين اثنين ماخلصو واحد ومخلين الناس تنتظر,negative
مكان يخدم المناطق المحيطه به وكذالك الماره والموظفين تعاملهم جدا وراقي يبادرون بخدمه الزاءر الكريم,positive
اسوء شركه اتصالات في العالم,negative
مع اني حلت مشكلتي ولكن المعامله ليست علي ما يرام,negative
خدمه سريعه وترتيب ممتاز,positive
رقم الجوال الظاهر في جوجل ماب الخاص لشركه زين غير صحيح اتصلت عليه طلع الي واحد,neutral
جيد جدا كل الاماكن,positive
النت سيء,negative
خدمه سريعه,positive
خدمه ممتازه,positive
العروض قليله,negative
تجربه جيده,positive
تعامل راقي,positive
حلو,positive
انني اقدر حقا الموظفين في وقت الزياره فقد كانوا يقدمون خدمه جيده للعملاء الذين يتسوقون دون الاستفاده من الاجهزه المحموله للاستكشاف والعرض قبل الشراء,positive
خدمه عملاء جيده جدا,positive
اسوا شركه اتصالات,negative
خدمه جيده,positive
الكلام الرجال الراقي و المريح النفس,positive
المقبول,negative
اسوا نت في العالم تواصلت معكم ولا انحلت المشكله,negative
فصل باقتك تم ويارب فرحه تسر الخاطر,positive
قدر الله علي و اشتركت معاكم انترنت المنزلي لان ما عندنا بالمنطقه الياف النت بطيء جدا جدا و خدمه العملاء عندكم اسوا حاجه لا التطبيق و لا التلفون ولا الوتسب تعالوا خذوا الجهاز حقكم و الغوا الاشتراك حتي الشكوي ما يقبلها التطبيق و الوتس رافض يتابعها غير ان اشتراك شاهد المجاني مو جاي يتفعل منكم من اول ما اشتركت يعني من حول سنتين,negative
نظرتنا السوداء لن تتغير دامكم تقدمون اسواء الخدمات للنت المنزلي,negative
يا شركه زين المحترمين ما هي معقوله عشان الغي باقه الطلبه المبتعثين احتاج ايام عشان اعرف طريقه الغاءها ولا هي معقوله اتصل علي وانتظر لاكثر من دقايق وفي الاخير يقول ارسل غ تجوال وفي الاخير غلط ولا يتم اي شي ارجو المساعده وشكرا,negative
مساء الخير حاب اسال عن جهاز جوالي هل انتهت الاقصاد,neutral
الشيكه اليوم تفصل كل شوي من جي الي ايدج ويفصل النت وش المشكله الخبر حي الثقبه,neutral
رساءلكم بالخاص ليش ماتردون علي العام علي العموم وعود وابشر وللاسف كاذبه وليس هناك الا كلمه ابشر ومالك الا طيبه الخاطر وعود فقط ولايوجد حل للشكوي المقدمه تاخذون رسوم دون خدمه,negative
اعلانات مخالفه للواقع مشتركين معهم ونحن في معاناه بطء شديد وسرعه ضعيفه لايحمل اي متصفح وخدمه عملاء لايوجد غير جهاز رد الي,negative
اي رفاهيه تتكلم عنها وسرعه السلحفاه اسرع من نتكم قالوا ايش قالوا الجيل الخامس وبوسط المدينه وللاسف تقطيع وانفصال متكرر ولايفتح اي روابط او قوقل او متصفح شي يءسف له للان تقريبا اكثر من شهر وحنا بمعاناه لاتغركم الدعايات,negative
شكرا لهذه الخدمه اتواصل بكل الطرق واخر الرد نعتذر هناك خلل وسوف يتواصل معاك احد مندوبينا لا المندوب اتصل والا المشكله انحلت وانا ادفع الفواتير ابي حل يا شركه زين,negative
من اكتوبر والنت تعبان اول شهرين كان صاروخ بعدين معاناه وياهم وكل ما افتح تذكره يصكونها بدون تصليح طبعا ع اساس السرعه الي ميقا حسبي الله عليكم,negative
اكيد بلا شك صباحي زين,positive
والله العظيم عليكم شبكه اسوء منها مافي شوفو لكم حل,negative
ممكن تعلموني الفرق بين و,neutral
وصلني من شركه جاءزه رقم الذهاب لكاس العالم هل هذا صحيح,neutral
السلام عليكم ورحمه الله وبركاته مساء الخير فيه جواءز من قبلكم لكاس العالم تذاكر ذهاب واياب وتذكره دخول الي الملعب,neutral
انا عميل عند زين من زين كانت داءما حلوه بعروضها لاكن اخر سنوات التغطيه حقتهم سيءه جدا جدا و سرعته ماتبرد القلب خصوصا ان ابراج زين تتحمل مشتركين زين ورد بول و ياقوت وفيرجن وسلام فالضغغط واجد فوق الاستطاعه,negative
عندي راوتر زين من امس مو راضي يعطيني او وش المشكله ارجو الحل,neutral
كيف اطلب شريحه,neutral
ماهي طريقه نقل ملكيه خط الهاتف,neutral
من الردود السلبيه تم الالغاء,negative
باقتك نصب واحتيال حياك عندنا,negative
تم فتح بلاغ لدي زين بتدني مستوي الخدمه بتاريخ وتصعيد الطلب لعدم حل المشكله لدي هيءه الاتصالات بتاريخ ولغايه الان الخدمه متدنيه ولا يوجد حل او تجاوب للمشكله,neutral
اي تلفون المهم يلصح حالي,negative
نبي شبكه الله لا يوفقكم دفع فواتير علي الفاضي حسبي الله ونعم الوكيل فيكم,negative
زين يازين,positive
يازينك يازين,positive
اوسخ شبكه في المملكه,negative
كيف اقدر الغي خدمه الفايبر,neutral
عالم سء من زين لا يوجد انتر نت ولا اتصال رجعتونا الي العصر الحجري والله مصيبه اي عالم انتم,negative
لا تصدقووووون اي شي تعلن عنه هذي الشركه والله ما عندنا نت في مدينه الخبر يا عالم معد احد يستخدمها الا سركه زين,negative
بالله هذي شبكه في وسط الخبر والله حرام الفلوس الي ندفعها,negative
شبكه فاشله بكل المقاييس حتي تطبيقهم ما يفتح من النت الضعيف والله مصيبه,negative
الي متي يا شركه زين هذا اتصال النت والله تعبنا منكم,negative
تذكير بعالم النصب والاحتيال,negative
عالم من الاعلانات الوهميه,negative
يا وزيرنا هيءه الاتصالات الله يسعدك في الدنيا والاخره تشوف لنا حل,positive
رجعنا الي بدايه الانتر نت الخبر,negative
هل هذي شبكه يا عالم من التحتيال,neutral
بالله هذي سرعه يا زين والله حرام تاكلون اموال العالم بالباطل,negative
عالم من الضحك والخداع والاحتيال,negative
زين عالم من الكذب المتواصل الا منتهي علي العملاء,negative
هذي شبكتكم في الخبر كيف بتصير في لندن ضحك علي العملاء واعلانات كذابه,negative
هذي شبكتم يا زين وتبغون الناس تشترك,negative
عالم من الخداع لا تنجرو خلف الاعلانات الوهميه النت صفر والشلكه صفر والفواتير دبل,negative
الخريطه الحقيقه ما هو الحل يا شركه زين ويا هءيه الاتصالات لما اكثر من شهر ولم يتم حل المشكله نستكي علي مين,negative
عالم من التعاسه والاكتاب,negative
والله من عدم المصداقيه في خدماتكم حي بالكامل مقطوع من الظهر الي الان مساء ولا تجاوب ولا رد ولا توضيح وهيءه الاتصالات لا تحاسبكم علي هذا التقصير حي الامواج العزيزيه الخبر الشبكه صفر للاسف وهمكم ادفع وادفع وخدمتكم لا تستحق ريال واحد للاسف,negative
بعد انتهاء العقد لمده سنتين ولازال الشبكه جدا جدا ضعيفه وحرصهم علي اشتراك اكبر عدد بدون تعديل الشبكه واذا رفعت شكوي لهيءه الاتصالات مده يومين ترتفع السرعه ونرجع من جديد نفس السوء والضعف وهيءه الاتصالات نايمه مدري متي تجبرهم علي مراعات مشتركينهم والله لا اتصال ولاشبكه عدله,negative
باقه شباب مافي باقات غيرها,negative
ليت وزير الاتصالات يدري عن السوء الي عندكم من نتكم وبنقكم بالالعاب وتغطيتكم السيءه وانقطاع الانترنت بساعات بدون سابق انذار او معرفه السبب ويعرف عن السوء الي موجود بخدمه العملاء لان ماعندهم اي فكره او حلول حق العميل ماغير تسليك بدون اي فايده او حل مشكله العميل,negative
السلام عليكم كيف اشحن خطي من الياقوت وانا خارج السعوديه,neutral
ياريت تحطوا برج بشارع عمر قريب من الشرطه الشماليه بريده القصيم الاشاره ضعيفه جدا النت داءم الانقطاع مع ان الموقع قريب من العثيم موقع مهم قريب من وزاره التجاره والبريد وغيره,neutral
سرعه عاليه ميجا ال زين,positive
شبكتكم ضعيفه ومنقطعه باغلب طرق السفر بين المدن صراحه يبيلكم سنه ضوءيه حتي تكون تغطيه الشبكه منتشره بالمملكه وتغيير المسءولين عن الشبكات لان شغلهم ضعيف ولا يغطي المملكه حتي بالمدن الرءيسيه ضعيف,negative
اسوء خدمه شفتها منكم وانا طالب شريحه عن طريق التطبيق والشريحه ما تتفعل معايا,negative
مشترك في النت مفتوح امس كان ممتاز اليوم سي جدا ماتهنيت فيه,neutral
طريقه الاشتراك,neutral
ياخي لي ساعه ابي اجدد قبل موعد انتهي الباقه لان خلص القيقا مو راضي ابي حل بدفع لكم اشتراك شهر جديد,neutral
لو سمحت ممكن تردون شبكه البيت ماصار لها شهر بس يوم والحين مرسلين لي تبون اسدد الفاتوره خير ان شاء الله ترا ماصارت ولا اول مره تصير رجاء شوف لكم حل,negative
السلام عليكم كيف احول الشريحه الي فايف جي هل فيها رسوم ام لا,neutral
ليتكم تطورون التطبيق كتطبيق وبرنامج ولاء مميز كبرنامج,positive
التذكره ايش صار عليها محد فيكم تكرم تواصل معي يوجدرقمهاتف شوفو لي حل تعطلت وعطلتوني ولا خدمه عملاء صاحيه حل لي المشكله,neutral
قويه,positive
انترنت لا محدود سرعه ميقا زين السعوديه,positive
سرعه عاليه ميجا ال زين يارب وماخاب من قال يارب,positive
كيف اشترك فيها لان ما تطلع لي بالتطبيق الا اذا باخذ رقم جديد واذا فيه رمز تفعيل لها ارسله عن طريق الرساءل,neutral
